statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-16;Holz und Holz- Kork- Korb- Flechtwaren ohne Möbel;108,6;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-14;Bekleidung;108,8;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-15;Leder und Lederwaren;114,9;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-29;Kraftwagen und Kraftwagenteile;111,5;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-28;Maschinen;119,5;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-36;Wasser und Dienstleistungen der Wasserversorgung;...;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-17;Papier, Pappe und Waren daraus;117,9;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-23;Glas und -waren, Keramik, Steine und Erden;...;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-30;Sonstige Fahrzeuge;109,2;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-28;Maschinen;119,4;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-15;Leder und Lederwaren;114,8;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-17;Papier, Pappe und Waren daraus;121,8;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-14;Bekleidung;108,9;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-27;Elektrische Ausrüstungen;119,2;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT08;August;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-30;Sonstige Fahrzeuge;109,4;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
